	CountyCode	lowincome	growth	vision	highincome	senior
651	17129	0	0	0	3	3
652	17131	0	0	1	3	0
653	17133	0	0	1	3	0
654	17135	0	0	1	5	2
655	17137	0	0	0	2	2
656	17139	0	0	0	3	1
657	17141	0	0	1	4	0
658	17143	0	4	1	6	2
659	17145	0	0	1	3	0
660	17147	0	1	0	4	3
661	17149	0	0	1	2	0
662	17151	0	0	0	3	1
663	17153	0	1	0	3	1
664	17155	0	0	0	3	0
665	17157	0	0	2	5	0
666	17159	0	0	1	2	0
667	17161	0	3	2	5	0
668	17163	0	2	1	5	0
669	17165	0	0	2	3	1
670	17167	0	3	0	5	3
671	17169	0	0	1	1	2
672	17171	0	0	0	2	1
673	17173	0	0	0	2	4
674	17175	0	1	0	3	0
675	17177	0	1	2	3	1
676	17179	0	3	1	6	4
677	17181	0	0	1	3	1
678	17183	0	1	2	6	3
679	17185	0	2	1	2	0
680	17187	0	2	0	4	1
681	17189	0	1	0	3	0
682	17191	0	0	2	3	0
683	17193	0	0	1	3	0
684	17195	0	1	2	5	1
685	17197	0	5	2	7	1
686	17199	0	1	1	5	1
687	17201	0	3	0	6	2
688	17203	0	0	1	5	2
689	18001	0	0	5	4	2
690	18003	0	2	4	4	2
691	18005	0	1	1	4	1
692	18007	0	0	1	4	1
693	18009	0	0	3	4	0
694	18011	0	0	5	7	2
695	18013	0	0	3	3	0
696	18015	0	0	4	4	2
697	18017	0	0	3	4	1
698	18019	0	0	3	4	2
699	18021	0	0	2	4	2
700	18023	0	0	3	7	2
701	18025	0	0	2	3	2
702	18027	0	1	2	5	2
703	18029	0	0	1	4	0
704	18031	0	1	1	4	1
705	18033	0	1	3	3	2
706	18035	0	1	3	5	0
707	18037	0	1	1	4	1
708	18039	0	3	3	5	1
709	18041	0	1	2	5	0
710	18043	0	1	3	4	1
711	18045	0	1	2	3	3
712	18047	0	0	2	6	0
713	18049	0	0	2	4	1
714	18051	0	1	2	4	1
715	18053	0	1	3	5	1
716	18055	1	0	3	4	3
717	18057	0	3	4	7	3
718	18059	0	1	4	6	0
719	18061	0	0	3	5	2
720	18063	0	2	3	4	3
721	18065	0	1	4	5	0
722	18067	0	0	2	6	2
723	18069	0	0	3	4	1
724	18071	0	0	3	4	2
725	18073	0	0	1	4	2
726	18075	0	1	3	5	2
727	18077	0	1	2	4	1
728	18079	0	0	2	4	2
729	18081	0	2	3	4	1
730	18083	0	0	3	4	4
731	18085	0	2	3	5	1
732	18087	0	0	2	5	1
733	18089	0	3	1	8	1
734	18091	0	2	4	5	1
735	18093	0	0	2	4	2
736	18095	0	1	3	6	1
737	18097	1	5	4	6	1
738	18099	0	1	3	4	1
739	18101	0	0	1	5	0
740	18103	0	0	2	3	3
741	18105	0	1	2	3	1
742	18107	0	0	3	5	2
743	18109	0	1	2	4	2
744	18111	0	0	2	4	2
745	18113	0	0	4	5	1
746	18115	0	1	0	3	0
747	18117	0	0	2	3	2
748	18119	0	0	2	2	2
749	18121	0	0	2	3	3
750	18123	0	0	2	2	0
751	18125	0	0	1	3	1
752	18127	0	3	1	7	1
753	18129	0	0	2	4	1
754	18131	0	0	2	3	1
755	18133	0	1	3	4	2
756	18135	0	1	2	6	1
757	18137	0	0	0	4	0
758	18139	0	0	1	5	1
759	18141	0	1	3	5	1
760	18143	0	1	1	3	1
761	18145	0	0	2	5	2
762	18147	0	0	2	3	0
763	18149	0	0	1	4	1
764	18151	0	1	1	3	1
765	18153	0	0	3	3	3
766	18155	0	0	0	1	0
767	18157	0	1	3	6	2
768	18159	0	0	2	5	3
769	18161	0	0	2	5	0
770	18163	0	0	2	4	0
771	18165	0	0	2	2	1
772	18167	0	2	2	4	1
773	18169	0	0	2	4	0
774	18171	0	0	1	4	2
775	18173	0	0	1	3	0
776	18175	0	1	2	4	3
777	18177	0	1	4	6	1
778	18179	0	0	3	4	2
779	18181	0	0	3	4	1
780	18183	0	0	2	4	1
781	19001	0	0	2	3	2
782	19003	0	0	1	1	0
783	19005	0	0	1	2	0
784	19007	0	0	0	3	1
785	19009	0	0	2	1	0
786	19011	0	0	2	6	1
787	19013	0	1	5	4	6
788	19015	0	1	1	3	2
789	19017	0	0	5	4	4
790	19019	0	0	3	4	3
791	19021	0	0	2	3	4
792	19023	0	0	3	3	4
793	19025	0	0	1	1	3
794	19027	0	0	1	4	2
795	19029	0	0	3	2	0
796	19031	0	2	2	4	1
797	19033	0	0	3	6	5
798	19035	0	0	3	4	1
799	19037	0	0	1	2	2
800	19039	0	0	0	4	0
801	19041	0	0	4	4	4
802	19043	0	0	2	4	1
803	19045	0	1	3	5	3
804	19047	0	0	1	5	2
805	19049	0	0	2	6	4
806	19051	0	0	0	3	1
807	19053	0	0	0	1	1
808	19055	0	0	0	4	1
809	19057	0	0	1	3	0
810	19059	0	0	4	3	8
811	19061	0	1	3	6	2
812	19063	0	0	2	2	4
813	19065	0	0	3	3	6
814	19067	0	0	3	3	5
815	19069	0	0	1	4	4
816	19071	0	0	1	2	2
817	19073	0	0	0	1	4
818	19075	0	0	4	3	3
819	19077	0	0	0	1	3
820	19079	0	0	0	4	3
821	19081	0	0	1	4	3
822	19083	0	0	2	4	6
823	19085	0	0	0	2	0
824	19087	0	0	1	3	2
825	19089	0	0	2	3	1
826	19091	0	0	1	2	2
827	19093	0	0	1	4	3
828	19095	0	0	3	5	0
829	19097	0	0	4	5	2
830	19099	0	0	1	4	2
831	19101	0	0	1	2	2
832	19103	0	0	3	9	4
833	19105	0	0	2	4	4
834	19107	0	0	0	2	3
835	19109	0	0	2	3	5
836	19111	0	0	3	3	0
837	19113	0	2	3	8	5
838	19115	0	0	0	3	1
839	19117	0	0	0	3	0
840	19119	0	0	3	3	1
841	19121	0	0	1	2	2
842	19123	0	0	1	6	2
843	19125	0	0	3	6	2
844	19127	0	0	1	5	2
845	19129	0	0	1	4	2
846	19131	0	0	2	2	4
847	19133	0	0	2	3	1
848	19135	0	1	2	2	1
849	19137	0	0	1	1	1
850	19139	0	1	3	3	3
851	19141	0	0	5	3	1
852	19143	0	0	3	3	5
853	19145	0	0	1	4	0
854	19147	0	0	2	2	4
855	19149	0	0	5	4	3
856	19151	0	0	1	3	5
857	19153	0	5	5	6	6
858	19155	0	0	1	5	4
859	19157	0	0	3	3	1
860	19159	0	0	0	2	0
861	19161	0	0	0	2	3
862	19163	0	2	2	5	4
863	19165	0	0	1	3	0
864	19167	0	0	4	3	2
865	19169	0	2	2	4	3
866	19171	0	0	2	3	2
867	19173	0	0	1	4	0
868	19175	0	0	1	3	1
869	19177	0	0	0	1	1
870	19179	0	0	2	4	3
871	19181	0	1	1	5	2
872	19183	0	0	0	3	3
873	19185	0	0	0	0	1
874	19187	0	0	1	6	4
875	19189	0	0	3	1	2
876	19191	0	0	2	1	3
877	19193	0	0	2	6	3
878	19195	0	0	2	2	3
879	19197	0	0	1	4	3
880	20001	0	0	4	2	1
881	20003	2	0	3	3	1
882	20005	1	0	0	4	2
883	20007	0	0	3	1	0
884	20009	0	0	0	4	1
885	20011	1	0	6	2	1
886	20013	0	0	0	2	2
887	20015	0	0	2	4	0
888	20017	0	0	1	2	2
889	20019	0	0	2	0	1
890	20021	0	0	4	4	1
891	20023	0	0	2	0	0
892	20025	2	0	0	1	1
893	20027	0	0	3	2	0
894	20029	0	0	2	1	1
895	20031	0	0	2	4	1
896	20033	1	0	1	0	0
897	20035	0	0	2	4	1
898	20037	0	0	6	5	1
899	20039	0	0	2	1	1
900	20041	1	1	2	3	1
901	20043	1	0	0	2	2
902	20045	0	1	2	5	1
903	20047	1	0	0	2	0
904	20049	0	0	3	1	0
905	20051	0	0	1	3	1
906	20053	0	0	2	1	0
907	20055	1	0	0	3	1
908	20057	1	0	0	3	1
909	20059	1	0	3	5	2
910	20061	1	0	4	5	1
911	20063	0	0	0	2	1
