,FIPS,MHI_2018,giniIndex
763,18131,48370,0.3966
764,18133,56169,0.3973
765,18135,45601,0.4096
766,18137,56295,0.4111
767,18139,50535,0.4305
768,18141,50938,0.4691
769,18143,47123,0.4046
770,18145,59214,0.3978
771,18147,56998,0.4218
772,18149,48895,0.4155
773,18151,56101,0.3964
774,18153,46517,0.4359
775,18155,47929,0.4274
776,18157,51844,0.4688
777,18159,55479,0.4109
778,18161,48227,0.3792
779,18163,46943,0.4751
780,18165,48377,0.4169
781,18167,43859,0.4653
782,18169,50637,0.3999
783,18171,61148,0.3765
784,18173,70648,0.4347
785,18175,47078,0.4237
786,18177,44228,0.4702
787,18179,56265,0.3979
788,18181,55086,0.3929
789,18183,61153,0.3994
790,19001,51859,0.4293
791,19003,49229,0.4265
792,19005,51057,0.4274
793,19007,41111,0.5136
794,19009,50397,0.392
795,19011,65475,0.4254
796,19013,52688,0.4616
797,19015,61111,0.4076
798,19017,68023,0.4128
799,19019,61409,0.457
800,19021,54556,0.4201
801,19023,55999,0.417
802,19025,50800,0.446
803,19027,57674,0.4338
804,19029,48178,0.4255
805,19031,65791,0.3785
806,19033,52902,0.4437
807,19035,54658,0.4298
808,19037,55385,0.4034
809,19039,51571,0.4185
810,19041,47874,0.4223
811,19043,52828,0.4078
812,19045,50156,0.4241
813,19047,53609,0.4883
814,19049,84790,0.4323
815,19051,58464,0.4107
816,19053,42614,0.4448
817,19055,61179,0.4256
818,19057,49977,0.4452
819,19059,58099,0.4363
820,19061,61321,0.4385
821,19063,48542,0.4744
822,19065,50015,0.4459
823,19067,48110,0.4469
824,19069,53742,0.4216
825,19071,54281,0.4145
826,19073,54050,0.4054
827,19075,66965,0.4225
828,19077,57075,0.4076
829,19079,56273,0.4103
830,19081,61167,0.3863
831,19083,53872,0.409
832,19085,60063,0.4022
833,19087,52428,0.4158
834,19089,52742,0.4145
835,19091,52219,0.4252
836,19093,55969,0.4608
837,19095,58570,0.4397
838,19097,54070,0.4267
839,19099,55727,0.4093
840,19101,43378,0.5016
841,19103,61640,0.4929
